source,id,name,address,latitude,longitude,type,contact,task,run_time
baidu,6ee01020d717ec9253e5c587,中国石化加油站(束河站),云南省丽江市古城区东阳路与束河路交叉口东南166米,26.91048904048217,100.21313020662488,gas_station,15012223015,云南丽江,2026-04-13T20:01:42
baidu,c083a87ca9b7c8506f3e1b38,中国石化加油站(云南丽江古城玉泉站),云南省丽江市古城区玉泉路522号,26.91050966268778,100.22749720468671,gas_station,15987939931,云南丽江,2026-04-13T20:01:42
baidu,d34e1f5e4074c7f3eb1e9791,东南石油加油站(火车客运站),丽江市玉龙纳西族自治县关丽路玉龙县电子商务产业园西南侧约170米,26.81161778743281,100.25734281207883,gas_station,15105221111,云南丽江,2026-04-13T20:01:42
baidu,8d8ea7d9339b360e2afc4883,川中石油加油站(宁泸公路站),丽江市宁蒗彝族自治县县道永宁线与宁泸公路交叉路口东南侧,27.556359940936883,100.80400571219695,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,ba8c2607b6f67c1926e0a0c6,中国石化加油站(七河机场路东站),云南省丽江市古城区七河镇七河村,26.71641260479648,100.26016629178322,gas_station,15284481850,云南丽江,2026-04-13T20:01:42
baidu,43da909937967f49cafa5f6d,中国石油加油站(龙蟠站),丽江市玉龙纳西族自治县214国道东50米,26.97649891442266,100.06315635670542,gas_station,18687988877,云南丽江,2026-04-13T20:01:42
baidu,c578279d926dcd7ec9fa5fcc,中国海油(秋兰加油站),云南省丽江市玉龙纳西族自治县拉市镇海东村委会梅子村,26.84590141143228,100.1464118492432,gas_station,18981052027,云南丽江,2026-04-13T20:01:42
baidu,c36b05ee9213f45c1d1d115e,中国石油加油站(东红站),丽江市宁蒗彝族自治县宁盐线(萨雅寺东南侧约250米),27.275679588215706,100.86370724949568,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,a7d7fdb14e40d865100daa64,中国石油白草坪加油站(G348站),991省道南50米,27.172685223129168,100.7039851983026,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,a74481d641406f47f503b85b,中国石油加油站(关坡站),云南省丽江市古城区漾西高仕村民航一级路盘,26.770845027882007,100.28129554028098,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,08ecad123a5c6f835cbe8673,程海石化(哨丫口加油站),丽江市永胜县梁哨段与哨团段交叉路口北侧,26.655614906784557,100.66502223271709,gas_station,16670508888,云南丽江,2026-04-13T20:01:42
baidu,341c35dedb68a3bfe70738a3,彩洪石化加油站(云南永胜站),云南省丽江市永胜县涛源镇东安公路云南永胜彩洪加油站,26.209188247094087,100.59463454855005,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,c78ea2545520b6c24354d7c8,中围石化加油站(胜源公司程海站),丽江市永胜县小北段程海启蒙幼儿园西南侧约120米,26.450445240226628,100.67605759533957,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,35fb53181e571032eddfca23,中国石油加油站(拉市海服务区站),云南省丽江市玉龙纳西族自治县拉市镇G5611大丽高速拉市海服务区(西南侧),26.821392455739904,100.09553307692,gas_station,18687999001,云南丽江,2026-04-13T20:01:42
baidu,98c4111effa789a316c9052e,中国石化加油站(七河机场路西站),云南省丽江市古城区七河镇丽江机场高速中国石化加油站,26.717717748814348,100.25944015248369,gas_station,15911497657,云南丽江,2026-04-13T20:01:42
baidu,e5e0773d75675869c61b7555,中国石油加油站(玉泉路站),云南省丽江市古城区西安街道玉泉路133号,26.89138064698675,100.22671991259209,gas_station,(0888)5177977,云南丽江,2026-04-13T20:01:42
baidu,7bde898a85f0782301294fff,中国石化加油站(丽江城北站),丽江市宁蒗彝族自治县大兴镇万格路972号,27.290600544380894,100.8486177146209,gas_station,95388,云南丽江,2026-04-13T20:01:42
baidu,c72328e971c77db33586f4e0,加油站(沙力站),云南省丽江市宁蒗彝族自治县沙力村,27.16574306112401,100.67351886159517,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,c7fb04bd23e22914fb0cada3,中国石化加油站(丽江永胜睦科站),云南省丽江市永胜县三川镇303省道睦科村附近,26.800260735740935,100.59784205443077,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,9c31f506d26cfbcdd618b71c,中国石油加油站(万格站),云南省丽江市宁蒗彝族自治县往丽江方向万格隧道出口约800米处,27.244172272855103,100.86640302955502,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,1ccee2396148195889f15da0,中国海油加油站(春迎站),云南省丽江市古城区G353(丽江长水建材城西侧约120米),26.864578350658896,100.18996231766913,gas_station,13518734528,云南丽江,2026-04-13T20:01:42
baidu,696be42bd04aa436d8d8919b,中国石化加油站(丽江宁城站),大兴镇220省道下干河子附近(万格路与220省道交叉口南),27.267906614450737,100.85503468160624,gas_station,18008884571,云南丽江,2026-04-13T20:01:42
baidu,a7e7db10cdee05a5b6f42f25,云贵石化加油站,丽江市华坪县大大段,26.598239105091686,101.37718399138757,gas_station,,云南丽江,2026-04-13T20:01:42
baidu,584a6ae11010dc655cbe868a,博森石化加油站,丽江市宁蒗彝族自治县凉山石化加油站,27.267180067405846,100.85896824574715,gas_station,15099996622,云南丽江,2026-04-13T20:01:42
