source,id,name,address,latitude,longitude,type,contact,task,run_time
baidu,,昆明市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,红河哈尼族彝族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,曲靖市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,大理白族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,昭通市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,文山壮族苗族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,楚雄彝族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,普洱市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,保山市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,玉溪市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,临沧市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,西双版纳傣族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,德宏傣族景颇族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,丽江市,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,迪庆藏族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
baidu,,怒江傈僳族自治州,,,,gas_station,,云南加油站,2026-04-13T19:00:17
