source,id,name,address,latitude,longitude,type
baidu,76e9848263d1e8752102620d,河北医科大学第四医院,石家庄市长安区健康路12号,38.055824,114.515711,hospital
baidu,a3e8341c95b566954afd3f75,河北医科大学第一医院,石家庄市裕华区东岗路89号,38.022621,114.559267,hospital
baidu,711b2e5cd5b374f22cb17ec6,河北省人民医院,河北省石家庄市新华区和平西路348号,38.064649,114.472023,hospital
baidu,9fbfeef2df52e845ede4a56b,石家庄市第三医院,石家庄市长安区体育南大街15号,38.045825,114.54068,hospital
baidu,caa279f45707ee30283a9f25,石家庄社区卫生服务,河北省石家庄市桥西区休门街20号,38.039355,114.512869,hospital
baidu,a5097bfa8adee71ef13cbabe,河北省中医院,河北省石家庄市长安区中山东路389号,38.049837,114.54401,hospital
baidu,23863f3d0057bbe7f11937cf,石家庄市市政医院,河北省石家庄市长安区栗康街10号,38.053605,114.514125,hospital
baidu,21e589e97e65ae942a02e1e6,石家庄市人民医院(方北路院区),河北省石家庄市方北路9号石家庄市第一医院,38.045934,114.533381,hospital
baidu,a45a0a3f13de7213a1046406,石家庄市中医院(东院区),石家庄市长安区建华北大街138号,38.0639,114.550827,hospital
baidu,e5ba833c8ff6c087a8f0cdfa,石家庄市第二医院(华西院区),石家庄市新华区华西路53号,38.052405,114.477219,hospital
baidu,64d713fb98c548b0aecb6639,石家庄市第四医院(谈固院区),河北省石家庄市长安区谈固西街与北宋路交叉口,38.052987,114.566708,hospital
baidu,281ea6b61dd8c1012902e19e,石家庄市第五医院,石家庄市裕华区塔南路42号,38.010228,114.515804,hospital
baidu,37fe3e3614a486ff0782c220,中石化建医院,石家庄市裕华区体育南大街183号,38.035602,114.54201,hospital
baidu,3f9337d6064198aaf62310f1,石家庄九州皮肤病医院,河北省石家庄市裕华区槐中路287号,38.034081,114.543925,hospital
baidu,09185c5675a3955df119376f,霍文发中医骨伤医院,槐安西路39号,38.031926,114.484642,hospital
baidu,fdb1e62a0d4debc1d4851f0d,河北医科大学第三医院,河北省石家庄市桥西区自强路139号,38.0474,114.47434,hospital
baidu,50d4215c614512f1283a9f7b,石家庄爱尔眼科医院,河北省石家庄市桥西区中华南大街252号,38.03222,114.483228,hospital
baidu,a08d8cd3392532e6e5e9658e,石家庄社区卫生服务站,河北省石家庄市长安区青园街道青园街131号(假日酒店西侧),38.044501,114.524227,hospital
baidu,bff8fa7d016feda0c8213d19,东马路社区卫生服务站,河北省石家庄市桥西区增强胡同10号,38.043786,114.505129,hospital
baidu,b11b950bdeaddeb5d81318fa,河北生殖妇产医院,石家庄市桥西区石风路27号,38.025585,114.46658,hospital
